Size,Sonoma,San Francisco,Redwood Coast,MCE,Lancaster,Apple Valley,Silicon Valley,Peninsula
1,5219.1,5469.1,5469.1,5299.1,5299.1,5299.1,5469.1,5469.1
2,4688.14926,4938.14926,4938.14926,4768.14926,4768.14926,4768.14926,4938.14926,4938.14926
3,4377.562987,4627.562987,4627.562987,4457.562987,4457.562987,4457.562987,4627.562987,4627.562987
4,4157.198519,4407.198519,4407.198519,4237.198519,4237.198519,4237.198519,4407.198519,4407.198519
5,3986.270559,4236.270559,4236.270559,4066.270559,4066.270559,4066.270559,4236.270559,4236.270559
6,3846.612247,4096.612247,4096.612247,3926.612247,3926.612247,3926.612247,4096.612247,4096.612247
7,3728.532826,3978.532826,3978.532826,3808.532826,3808.532826,3808.532826,3978.532826,3978.532826
8,3626.247779,3876.247779,3876.247779,3706.247779,3706.247779,3706.247779,3876.247779,3876.247779
9,3536.025974,3786.025974,3786.025974,3616.025974,3616.025974,3616.025974,3786.025974,3786.025974
10,3455.319819,3705.319819,3705.319819,3535.319819,3535.319819,3535.319819,3705.319819,3705.319819
11,3382.312221,3632.312221,3632.312221,3462.312221,3462.312221,3462.312221,3632.312221,3632.312221
12,3315.661506,3565.661506,3565.661506,3395.661506,3395.661506,3395.661506,3565.661506,3565.661506
13,3254.348792,3504.348792,3504.348792,3334.348792,3334.348792,3334.348792,3504.348792,3504.348792
14,3197.582086,3447.582086,3447.582086,3277.582086,3277.582086,3277.582086,3447.582086,3447.582086
15,3144.733546,3394.733546,3394.733546,3224.733546,3224.733546,3224.733546,3394.733546,3394.733546
16,3095.297039,3345.297039,3345.297039,3175.297039,3175.297039,3175.297039,3345.297039,3345.297039
17,3048.858578,3298.858578,3298.858578,3128.858578,3128.858578,3128.858578,3298.858578,3298.858578
18,3005.075233,3255.075233,3255.075233,3085.075233,3085.075233,3085.075233,3255.075233,3255.075233
19,2963.659742,3213.659742,3213.659742,3043.659742,3043.659742,3043.659742,3213.659742,3213.659742
20,2924.369078,3174.369078,3174.369078,3004.369078,3004.369078,3004.369078,3174.369078,3174.369078
